hgnc_id	symbol	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_group	gene_group_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	ensembl_gene_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit-trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_ids	lncipedia	gtrnadb	agr	mane_select	gencc
HGNC:5	A1BG	alpha-1-B glycoprotein	protein-coding gene	gene with protein product	Approved	19q13.43	19q13.43					Immunoglobulin like domain containing	594	1989-06-30			2023-01-20	1	ENSG00000121410	OTTHUMG00000183507	uc002qsd.5		NM_130786	CCDS12976	P04217	2591067	MGI:2152878	RGD:69417			138670								I43.950												HGNC:5	"ENST00000263100.8|NM_130786.4"	
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	19q13.43	19q13.43	FLJ23569		"NCRNA00181|A1BGAS|A1BG-AS"	"non-protein coding RNA 181|A1BG antisense RNA (non-protein coding)|A1BG antisense RNA 1 (non-protein coding)"	Antisense RNAs	1987	2009-07-20	2010-11-25	2012-08-15	2013-06-27	503538	ENSG00000268895	OTTHUMG00000183508	uc002qse.3	BC040926	NR_015380																										A1BG-AS1		HGNC:37133		
HGNC:24086	A1CF	APOBEC1 complementation factor	protein-coding gene	gene with protein product	Approved	10q11.23	10q11.23	"ACF|ASP|ACF64|ACF65|APOBEC1CF"				RNA binding motif containing	725	2007-11-23			2023-01-20	29974	ENSG00000148584	OTTHUMG00000018240	uc057tgv.1	AF271790	NM_014576	"CCDS7243|CCDS7242|CCDS73133|CCDS7241"	Q9NQ94	"11815617|11072063"	MGI:1917115	RGD:619834			618199																				HGNC:24086	"ENST00000373997.8|NM_014576.4"	
HGNC:7	A2M	alpha-2-macroglobulin	protein-coding gene	gene with protein product	Approved	12p13.31	12p13.31	"FWP007|S863-7|CPAMD5"				Alpha-2-macroglobulin family	2148	1986-01-01			2023-01-20	2	ENSG00000175899	OTTHUMG00000150267	uc001qvk.2	"BX647329|X68728|M11313"	NM_000014	CCDS44827	P01023	"2408344|9697696"	MGI:2449119	RGD:2004	LRG_591|http://ftp.ebi.ac.uk/pub/databases/lrgex/LRG_591.xml		103950								I39.001												HGNC:7	"ENST00000318602.12|NM_000014.6"	HGNC:7
HGNC:27057	A2M-AS1	A2M antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	12p13.31	12p13.31				"A2M antisense RNA 1 (non-protein coding)|A2M antisense RNA 1"	Antisense RNAs	1987	2012-06-23		2018-03-21	2018-03-21	144571	ENSG00000245105	OTTHUMG00000168289	uc009zgj.2		NR_026971																										A2M-AS1		HGNC:27057		
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	protein-coding gene	gene with protein product	Approved	12p13.31	12p13.31	"FLJ25179|p170"		CPAMD9	C3 and PZP-like, alpha-2-macroglobulin domain containing 9	Alpha-2-macroglobulin family	2148	2005-07-20	2005-09-01	2016-03-07	2023-01-20	144568	ENSG00000166535	OTTHUMG00000128499	uc001quz.6	AK057908	NM_144670	"CCDS8596|CCDS73439"	A8K2U0	16298998					610627					410627			I39.007												HGNC:23336	"ENST00000299698.12|NM_144670.6"	HGNC:23336
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	12p13.31	12p13.31				A2ML1 antisense RNA 1 (non-protein coding)	Antisense RNAs	1987	2011-05-05		2012-08-15	2014-11-19	100874108	ENSG00000256661	OTTHUMG00000168273	uc058kxy.1		NR_046715																										A2ML1-AS1				
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2	non-coding RNA	RNA, long non-coding	Approved	12p13.31	12p13.31				A2ML1 antisense RNA 2 (non-protein coding)	Antisense RNAs	1987	2011-05-05		2012-08-15	2014-11-19	106478979	ENSG00000256904	OTTHUMG00000168274	uc058kyb.1																												A2ML1-AS2				
HGNC:8	A2MP1	alpha-2-macroglobulin pseudogene 1	pseudogene	pseudogene	Approved	12p13.31	12p13.31			A2MP	alpha-2-macroglobulin pseudogene			1991-09-12	2010-02-24	2010-02-24	2016-08-22	3	ENSG00000256069	OTTHUMG00000168334		M24415	NG_001067			2478422											PGOHUM00000291221														HGNC:8		
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	protein-coding gene	gene with protein product	Approved	1p35.1	01p35.1	"IGBS3S|IGB3S"	"iGb3 synthase|isoglobotriaosylceramide synthase"	A3GALT2P	alpha 1,3-galactosyltransferase 2, pseudogene	Glycosyltransferase family 6	429	2005-05-06	2013-03-11	2013-03-11	2023-01-20	127550	ENSG00000184389	OTTHUMG00000004125	uc031plq.1		NM_001080438	CCDS60080	U3KPV4	"10854427|18630988"	MGI:2685279	RGD:727913			619850																				HGNC:30005	"ENST00000442999.3|NM_001080438.1"	
